title,difficulty,topic,companies,source_url,source_platform
Two Sum,Easy,Array|Hash Table,Google|Amazon|Meta|Microsoft,https://leetcode.com/problems/two-sum,LeetCode
Contains Duplicate,Easy,Array|Hash Table,Amazon|Apple,https://leetcode.com/problems/contains-duplicate,LeetCode
Valid Anagram,Easy,Hash Table|String,Google|Uber,https://leetcode.com/problems/valid-anagram,LeetCode
Group Anagrams,Medium,Array|Hash Table|String,Amazon|Meta|Google,https://leetcode.com/problems/group-anagrams,LeetCode
Top K Frequent Elements,Medium,Array|Hash Table|Heap,Amazon|Meta,https://leetcode.com/problems/top-k-frequent-elements,LeetCode
Product of Array Except Self,Medium,Array|Prefix Sum,Amazon|Apple|Meta,https://leetcode.com/problems/product-of-array-except-self,LeetCode
Valid Sudoku,Medium,Array|Hash Table|Matrix,Apple|Uber,https://leetcode.com/problems/valid-sudoku,LeetCode
Longest Consecutive Sequence,Medium,Array|Hash Table|Union Find,Google|Spotify,https://leetcode.com/problems/longest-consecutive-sequence,LeetCode
Majority Element,Easy,Array|Hash Table|Divide and Conquer,Amazon|Google,https://leetcode.com/problems/majority-element,LeetCode
Subarray Sum Equals K,Medium,Array|Hash Table|Prefix Sum,Meta|Google,https://leetcode.com/problems/subarray-sum-equals-k,LeetCode
Valid Palindrome,Easy,Two Pointers|String,Meta|Microsoft,https://leetcode.com/problems/valid-palindrome,LeetCode
Two Sum II - Input Array Is Sorted,Medium,Array|Two Pointers|Binary Search,Amazon|Apple,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted,LeetCode
3Sum,Medium,Array|Two Pointers|Sorting,Meta|Amazon|Google,https://leetcode.com/problems/3sum,LeetCode
Container With Most Water,Medium,Array|Two Pointers|Greedy,Google|Amazon|Apple,https://leetcode.com/problems/container-with-most-water,LeetCode
Trapping Rain Water,Hard,Array|Two Pointers|Stack|Dynamic Programming,Google|Amazon|Meta|Goldman Sachs,https://leetcode.com/problems/trapping-rain-water,LeetCode
Move Zeroes,Easy,Array|Two Pointers,Meta|Amazon,https://leetcode.com/problems/move-zeroes,LeetCode
Sort Colors,Medium,Array|Two Pointers|Sorting,Microsoft|Amazon,https://leetcode.com/problems/sort-colors,LeetCode
Remove Duplicates from Sorted Array,Easy,Array|Two Pointers,Meta|Microsoft,https://leetcode.com/problems/remove-duplicates-from-sorted-array,LeetCode
4Sum,Medium,Array|Two Pointers|Sorting,Amazon|Google,https://leetcode.com/problems/4sum,LeetCode
Backspace String Compare,Easy,Two Pointers|Stack|String,Google,https://leetcode.com/problems/backspace-string-compare,LeetCode
Best Time to Buy and Sell Stock,Easy,Array|Dynamic Programming|Sliding Window,Amazon|Meta|Google|Microsoft,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,LeetCode
Longest Substring Without Repeating Characters,Medium,Hash Table|String|Sliding Window,Amazon|Meta|Google|Bloomberg,https://leetcode.com/problems/longest-substring-without-repeating-characters,LeetCode
Longest Repeating Character Replacement,Medium,Hash Table|String|Sliding Window,Google|Amazon,https://leetcode.com/problems/longest-repeating-character-replacement,LeetCode
Permutation in String,Medium,Hash Table|Two Pointers|String|Sliding Window,Microsoft|Meta,https://leetcode.com/problems/permutation-in-string,LeetCode
